key,value,date
Neural Network,0.017584,1998
Real Time,0.015985,1998
Object Orient,0.012530,1998
Speech Recognition,0.008921,1998
Web Base,0.006703,1998
Multi Agent,0.003816,1998
Social Medium,0.000000,1998
Large Scale,0.003300,1998
Mobile Robot,0.004589,1998
E Commerce,0.000258,1998
Hoc Network,0.000206,1998
Wireless Sensor,0.000052,1998
Convolutional Neural,0.000000,1998
Sensor Network,0.000052,1998
Cognitive Radio,0.000000,1998
Big Datum,0.000000,1998
Base Approach,0.003145,1998
Wireless Network,0.000773,1998
Social Network,0.000052,1998
Peer Peer,0.000052,1998
Deep Learn,0.000000,1998
Information System,0.006497,1998
Energy Efficient,0.000000,1998
High Performance,0.004950,1998
Web Service,0.000103,1998
Ad Hoc,0.000928,1998
Information Retrieval,0.003249,1998
Reinforcement Learn,0.002217,1998
Model Base,0.003506,1998
Machine Learn,0.000877,1998
Case Study,0.005724,1998
Genetic Algorithm,0.005930,1998
Neural Network,0.020134,1999
Real Time,0.013984,1999
Object Orient,0.009885,1999
Web Base,0.008837,1999
Information System,0.006651,1999
Multi Agent,0.004373,1999
Social Medium,0.000000,1999
Large Scale,0.003189,1999
Mobile Robot,0.003690,1999
E Commerce,0.001184,1999
Hoc Network,0.001093,1999
Speech Recognition,0.005740,1999
Wireless Sensor,0.000046,1999
Convolutional Neural,0.000046,1999
Sensor Network,0.000091,1999
Cognitive Radio,0.000000,1999
Big Datum,0.000000,1999
Base Approach,0.002915,1999
Wireless Network,0.001959,1999
Social Network,0.000137,1999
Peer Peer,0.000000,1999
Deep Learn,0.000000,1999
Energy Efficient,0.000319,1999
High Performance,0.004191,1999
Web Service,0.000182,1999
Ad Hoc,0.002004,1999
Information Retrieval,0.004191,1999
Reinforcement Learn,0.001412,1999
Model Base,0.003507,1999
Machine Learn,0.001093,1999
Case Study,0.006377,1999
Genetic Algorithm,0.004601,1999
Real Time,0.013371,2000
Neural Network,0.013004,2000
Information System,0.008234,2000
Speech Recognition,0.007827,2000
Web Base,0.007582,2000
Multi Agent,0.005422,2000
Social Medium,0.000000,2000
Large Scale,0.003383,2000
Mobile Robot,0.003180,2000
E Commerce,0.003017,2000
Hoc Network,0.001875,2000
Wireless Sensor,0.000041,2000
Convolutional Neural,0.000000,2000
Sensor Network,0.000367,2000
Cognitive Radio,0.000000,2000
Big Datum,0.000000,2000
Base Approach,0.003547,2000
Wireless Network,0.002364,2000
Social Network,0.000163,2000
Peer Peer,0.000041,2000
Deep Learn,0.000000,2000
Energy Efficient,0.000285,2000
High Performance,0.003506,2000
Web Service,0.000082,2000
Ad Hoc,0.002935,2000
Information Retrieval,0.004892,2000
Reinforcement Learn,0.002283,2000
Object Orient,0.007134,2000
Model Base,0.003506,2000
Machine Learn,0.001060,2000
Case Study,0.005829,2000
Genetic Algorithm,0.005136,2000
Real Time,0.014355,2001
Neural Network,0.009024,2001
Web Base,0.008453,2001
Information System,0.007387,2001
Case Study,0.006664,2001
Multi Agent,0.004607,2001
Social Medium,0.000000,2001
Large Scale,0.002323,2001
Mobile Robot,0.002932,2001
E Commerce,0.004760,2001
Hoc Network,0.003199,2001
Speech Recognition,0.006359,2001
Wireless Sensor,0.000419,2001
Convolutional Neural,0.000000,2001
Sensor Network,0.000762,2001
Cognitive Radio,0.000000,2001
Big Datum,0.000000,2001
Base Approach,0.003808,2001
Wireless Network,0.002627,2001
Social Network,0.000114,2001
Peer Peer,0.000952,2001
Deep Learn,0.000000,2001
Energy Efficient,0.000647,2001
High Performance,0.004417,2001
Web Service,0.000914,2001
Ad Hoc,0.004798,2001
Information Retrieval,0.003503,2001
Reinforcement Learn,0.001752,2001
Object Orient,0.006016,2001
Model Base,0.004112,2001
Machine Learn,0.001447,2001
Genetic Algorithm,0.004531,2001
Real Time,0.013290,2002
Neural Network,0.008033,2002
Web Base,0.006922,2002
Ad Hoc,0.006824,2002
Case Study,0.005649,2002
Multi Agent,0.005322,2002
Social Medium,0.000000,2002
Large Scale,0.003102,2002
Mobile Robot,0.002645,2002
E Commerce,0.002939,2002
Hoc Network,0.004506,2002
Speech Recognition,0.005159,2002
Wireless Sensor,0.000751,2002
Convolutional Neural,0.000065,2002
Sensor Network,0.001535,2002
Cognitive Radio,0.000000,2002
Big Datum,0.000000,2002
Base Approach,0.004147,2002
Wireless Network,0.003624,2002
Social Network,0.000229,2002
Peer Peer,0.004016,2002
Deep Learn,0.000065,2002
Information System,0.005192,2002
Energy Efficient,0.000849,2002
High Performance,0.003592,2002
Web Service,0.003788,2002
Information Retrieval,0.003069,2002
Reinforcement Learn,0.001665,2002
Object Orient,0.003853,2002
Model Base,0.003461,2002
Machine Learn,0.001698,2002
Genetic Algorithm,0.004865,2002
Real Time,0.013902,2003
Neural Network,0.010562,2003
Ad Hoc,0.009015,2003
Web Service,0.007087,2003
Information System,0.006815,2003
Web Base,0.005783,2003
Multi Agent,0.005078,2003
Social Medium,0.000000,2003
Large Scale,0.004019,2003
Mobile Robot,0.002552,2003
E Commerce,0.002579,2003
Hoc Network,0.006218,2003
Speech Recognition,0.004996,2003
Wireless Sensor,0.001819,2003
Convolutional Neural,0.000081,2003
Sensor Network,0.003774,2003
Cognitive Radio,0.000000,2003
Big Datum,0.000000,2003
Base Approach,0.004534,2003
Wireless Network,0.003503,2003
Social Network,0.000299,2003
Peer Peer,0.004942,2003
Deep Learn,0.000000,2003
Energy Efficient,0.001303,2003
High Performance,0.003041,2003
Information Retrieval,0.003829,2003
Reinforcement Learn,0.001330,2003
Object Orient,0.004263,2003
Model Base,0.003801,2003
Machine Learn,0.001439,2003
Case Study,0.006381,2003
Genetic Algorithm,0.005105,2003
Real Time,0.012396,2004
Ad Hoc,0.011664,2004
Neural Network,0.011062,2004
Web Service,0.009276,2004
Hoc Network,0.008953,2004
Web Base,0.004111,2004
Multi Agent,0.005359,2004
Social Medium,0.000022,2004
Large Scale,0.003486,2004
Mobile Robot,0.003056,2004
E Commerce,0.001937,2004
Speech Recognition,0.004433,2004
Wireless Sensor,0.003723,2004
Convolutional Neural,0.000043,2004
Sensor Network,0.007468,2004
Cognitive Radio,0.000022,2004
Big Datum,0.000000,2004
Base Approach,0.004433,2004
Wireless Network,0.004455,2004
Social Network,0.000581,2004
Peer Peer,0.005940,2004
Deep Learn,0.000000,2004
Information System,0.005854,2004
Energy Efficient,0.001894,2004
High Performance,0.003164,2004
Information Retrieval,0.003551,2004
Reinforcement Learn,0.001786,2004
Object Orient,0.002712,2004
Model Base,0.004606,2004
Machine Learn,0.001636,2004
Case Study,0.007167,2004
Genetic Algorithm,0.004627,2004
Neural Network,0.013049,2005
Real Time,0.012442,2005
Sensor Network,0.011986,2005
Ad Hoc,0.011854,2005
Web Service,0.010128,2005
Web Base,0.003679,2005
Multi Agent,0.005671,2005
Social Medium,0.000019,2005
Large Scale,0.003774,2005
Mobile Robot,0.002674,2005
E Commerce,0.002086,2005
Hoc Network,0.009217,2005
Speech Recognition,0.003281,2005
Wireless Sensor,0.006448,2005
Convolutional Neural,0.000095,2005
Cognitive Radio,0.000114,2005
Big Datum,0.000000,2005
Base Approach,0.004514,2005
Wireless Network,0.005026,2005
Social Network,0.000683,2005
Peer Peer,0.005064,2005
Deep Learn,0.000000,2005
Information System,0.005045,2005
Energy Efficient,0.002010,2005
High Performance,0.002940,2005
Information Retrieval,0.003528,2005
Reinforcement Learn,0.001726,2005
Object Orient,0.002541,2005
Model Base,0.004248,2005
Machine Learn,0.001536,2005
